installation_type,vessel_name,start_date,end_date,installation time,windfarm_name,,,
foundation,Wind Osprey,8/4/2018 1:55,8/5/2018 22:47,,Albatros / Hohe See,,,
foundation,Wind Osprey,8/7/2018 10:00,8/9/2018 14:08,,Albatros / Hohe See,,,
foundation,Wind Osprey,8/19/2018 0:23,8/20/2018 9:35,,Albatros / Hohe See,,,
foundation,Wind Osprey,8/22/2018 1:44,8/22/2018 11:12,,Albatros / Hohe See,,,
turbine,Wind Osprey,1/15/2021 6:02,1/24/2021 8:10,,Triton Knoll,,,
turbine,Wind Osprey,1/24/2021 11:00,1/27/2021 11:32,,Triton Knoll,,,
turbine,Wind Osprey,1/27/2021 13:17,1/28/2021 8:44,,Triton Knoll,,,
turbine,Wind Osprey,1/28/2021 13:53,2/2/2021 13:14,,Triton Knoll,,,
turbine,Wind Osprey,2/2/2021 21:00,2/9/2021 7:07,,Triton Knoll,,,
turbine,Wind Osprey,2/15/2021 20:03,2/22/2021 13:10,,Triton Knoll,,,
turbine,Wind Osprey,2/22/2021 14:03,2/26/2021 1:12,,Triton Knoll,,,
turbine,Wind Osprey,2/26/2021 2:03,2/27/2021 7:03,,Triton Knoll,,,
turbine,Wind Osprey,2/27/2021 8:10,3/5/2021 21:10,,Triton Knoll,,,
turbine,Wind Osprey,3/6/2021 1:09,3/7/2021 6:01,,Triton Knoll,,,
turbine,Wind Osprey,3/12/2021 7:04,3/17/2021 15:01,,Triton Knoll,,,
turbine,Wind Osprey,3/17/2021 16:25,3/19/2021 14:06,,Triton Knoll,,,
turbine,Wind Osprey,3/19/2021 15:07,3/23/2021 18:25,,Triton Knoll,,,
turbine,Wind Osprey,3/23/2021 20:01,3/27/2021 18:25,,Triton Knoll,,,
turbine,Wind Osprey,3/27/2021 22:02,3/31/2021 3:00,,Triton Knoll,,,
turbine,Wind Osprey,4/3/2021 4:03,4/4/2021 13:01,,Triton Knoll,,,
turbine,Wind Osprey,4/4/2021 15:02,4/8/2021 4:33,,Triton Knoll,,,
turbine,Wind Osprey,4/8/2021 8:16,4/10/2021 3:16,,Triton Knoll,,,
turbine,Wind Osprey,4/10/2021 5:22,4/11/2021 2:04,,Triton Knoll,,,
turbine,Wind Osprey,4/11/2021 5:05,4/12/2021 14:02,,Triton Knoll,,,
turbine,Wind Osprey,4/15/2021 8:00,4/17/2021 2:02,,Triton Knoll,,,
turbine,Wind Osprey,4/17/2021 4:00,4/17/2021 21:05,,Triton Knoll,,,
turbine,Wind Osprey,4/17/2021 23:00,4/18/2021 19:00,,Triton Knoll,,,
turbine,Wind Osprey,4/18/2021 20:00,4/19/2021 17:00,,Triton Knoll,,,
turbine,Wind Osprey,4/21/2021 10:03,4/22/2021 3:05,,Triton Knoll,,,
turbine,Wind Osprey,4/22/2021 5:10,4/23/2021 4:04,,Triton Knoll,,,
turbine,Wind Osprey,4/23/2021 6:03,4/24/2021 1:00,,Triton Knoll,,,
turbine,Wind Osprey,4/24/2021 3:00,4/24/2021 21:28,,Triton Knoll,,,
turbine,Wind Osprey,4/24/2021 23:08,4/27/2021 16:00,,Triton Knoll,,,
turbine,Wind Osprey,4/30/2021 7:01,5/2/2021 0:00,,Triton Knoll,,,
turbine,Wind Osprey,5/2/2021 1:11,5/3/2021 10:11,,Triton Knoll,,,
turbine,Wind Osprey,5/3/2021 12:05,5/6/2021 2:17,,Triton Knoll,,,
turbine,Wind Osprey,5/6/2021 4:08,5/7/2021 2:08,,Triton Knoll,,,
turbine,Wind Osprey,5/7/2021 3:08,5/8/2021 2:11,,Triton Knoll,,,
